	小分類名
50134	国産牛焼肉（交雑種/肉専用種）
50135	国産牛しゃぶしゃぶ（交雑種/肉専用種）
50136	国産牛かたまり（交雑種/肉専用種）
50137	国産牛味付（交雑種/肉専用種）
50138	国産牛その他（交雑種/肉専用種）
50139	国産牛原料（交雑種/肉専用種）
50141	国産牛切り落し（乳用種）
50142	国産牛スライス（乳用種）
50143	国産牛ステーキ（乳用種）
50144	国産牛焼肉（乳用種）
50145	国産牛しゃぶしゃぶ（乳用種）
50146	国産牛かたまり（乳用種）
50147	国産牛味付（乳用種）
50148	国産牛その他（乳用種）
50149	国産牛原料（乳用種）
50151	輸入牛切り落し
50152	輸入牛スライス
50153	輸入牛ステーキ
50154	輸入牛焼肉
50155	輸入牛しゃぶしゃぶ
50156	輸入牛かたまり
50157	輸入牛味付
50158	輸入牛その他
50159	輸入牛原料
50161	焼肉セット（牛入り）
50162	しゃぶしゃぶセット（牛入り）
50163	その他セット（牛入り）
50171	牛挽肉
50172	牛豚挽肉
50179	牛挽肉原料
50181	牛内臓
50194	催事
50198	牛肉その他
50201	銘柄豚切り落し
50202	銘柄豚スライス
50203	銘柄豚ステーキ・カツ
50204	銘柄豚焼肉
50205	銘柄豚しゃぶしゃぶ
50206	銘柄豚かたまり
50207	銘柄豚味付
50208	銘柄豚その他
50209	銘柄豚原料
50221	こだわり豚切り落し（悠健）
50222	こだわり豚スライス（悠健）
50223	こだわり豚ステーキカツ（悠健）
50224	こだわり豚焼肉（悠健）
50225	こだわり豚しゃぶしゃぶ（悠健）
50226	こだわり豚かたまり（悠健）
50227	こだわり豚味付（悠健）
50228	こだわり豚その他（悠健）
50229	こだわり豚原料（悠健）
50231	国産豚切り落し
50232	国産豚スライス
50233	国産豚ステーキ・カツ
50234	国産豚焼肉
50235	国産豚しゃぶしゃぶ
50236	国産豚かたまり
50237	国産豚味付
50238	国産豚その他
50239	国産豚原料
50241	輸入豚切り落し
50242	輸入豚スライス
50243	輸入豚ステーキ・カツ
50244	輸入豚焼肉
50245	輸入豚しゃぶしゃぶ
50246	輸入豚かたまり
50247	輸入豚味付
50248	輸入豚その他
50249	輸入豚原料
50251	焼肉セット（豚のみ）
50252	しゃぶしゃぶセット（豚のみ）
50253	その他セット（豚のみ）
50261	豚挽肉
50269	豚挽肉原料
50271	豚内臓
50294	催事
50298	豚肉その他
50301	銘柄鶏正肉
50302	銘柄鶏切身
50303	銘柄鶏骨もの
50304	銘柄鶏内臓
50305	銘柄鶏味付
50306	銘柄鶏その他
50309	銘柄鶏原料
50321	こだわり鶏正肉（悠然）
50322	こだわり鶏切身（悠然）
50323	こだわり鶏骨もの（悠然）
50324	こだわり鶏内臓（悠然）
50325	こだわり鶏味付（悠然）
50326	こだわり鶏その他（悠然）
50329	こだわり鶏原料（悠然）
50331	国産鶏正肉
50332	国産鶏切身
50333	国産鶏骨もの
50334	国産鶏内臓
50335	国産鶏味付
50336	国産鶏その他
50339	国産鶏原料
50341	輸入鶏正肉
50342	輸入鶏切身
50343	輸入鶏骨もの
50344	輸入鶏内臓
50345	輸入鶏味付
50346	輸入鶏その他
50349	輸入鶏原料
50351	鶏挽肉
50361	鴨
50362	ラム・マトン
50363	馬肉
50364	ジビエ
50394	催事
50398	鶏肉その他生肉その他
50401	生食
50402	インストアハム
50403	レンジアップ
50404	店内惣菜
50405	アウトパック生食
50421	串もの
50422	味付け・パン粉付きカツ
50423	半調理
50424	ハンバーグ
50425	コンシューマー（温度帯変更）
50431	鍋商材
50441	業務用タレ・小袋
50494	催事
50498	フレッシュミート惣菜その他
50501	ウインナー
50502	ハム・サラダチキン
50503	生ハム
50504	ベーコン
50505	焼豚
50506	ハンバーグ・ミートボール
50507	ステーキ・ボロニア
50508	肉惣菜
50509	魚肉・ドライソー
50510	その他常温
50511	餃子皮
50512	精肉店頭タレ
50514	チルド精肉（４９JAN）
50521	冷凍牛肉JAN
50522	冷凍豚肉JAN
50523	冷凍鶏肉JAN
50524	冷凍馬肉JAN
50525	冷凍その他JAN
50526	冷凍牛肉味付JAN
50527	冷凍豚肉味付JAN
50528	冷凍鶏肉味付JAN
50529	冷凍その他味付JAN
50530	冷凍半調理JAN
50594	催事
50598	フレッシュミート加工品その他
50601	銘柄牛切り落し
50602	銘柄牛スライス
50603	銘柄牛ステーキ
50604	銘柄牛焼肉
50605	銘柄牛しゃぶしゃぶ
50606	銘柄牛かたまり
50607	銘柄牛味付・惣菜
50608	和牛切り落し
50609	和牛スライス
50610	和牛ステーキ
50611	和牛焼肉
50612	和牛しゃぶしゃぶ
50613	和牛かたまり
50614	和牛味付・惣菜
50615	国産牛切り落し（交雑種/肉専用種）
50616	国産牛スライス（交雑種/肉専用種）
50617	国産牛ステーキ（交雑種/肉専用種）
50618	国産牛焼肉（交雑種/肉専用種）
50619	国産牛しゃぶしゃぶ（交雑種/肉専用種）
50620	国産牛かたまり（交雑種/肉専用種）
50621	国産牛味付・惣菜（交雑種/肉専用種）
50622	国産牛切り落し（乳用種）
50623	国産牛スライス（乳用種）
50624	国産牛ステーキ（乳用種）
50625	国産牛焼肉（乳用種）
50626	国産牛しゃぶしゃぶ（乳用種）
50627	国産牛かたまり（乳用種）
50628	国産牛味付・惣菜（乳用種）
50629	輸入牛切り落し
50630	輸入牛スライス
50631	輸入牛ステーキ
50632	輸入牛焼肉
50633	輸入牛しゃぶしゃぶ
50634	輸入牛かたまり
50635	輸入牛味付・惣菜
50636	セットもの
50637	牛内臓
50638	牛挽肉
50639	牛豚挽肉
50640	銘柄豚切り落し
50641	銘柄豚スライス
50642	銘柄豚ステーキ・カツ
50643	銘柄豚焼肉
50644	銘柄豚しゃぶしゃぶ
50645	銘柄豚かたまり
50646	銘柄豚味付・惣菜
50647	こだわり豚切り落し（悠健）
50648	こだわり豚スライス（悠健）
50649	こだわり豚ステーキカツ（悠健）
50650	こだわり豚焼肉（悠健）
50651	こだわり豚しゃぶしゃぶ（悠健）
50652	こだわり豚かたまり（悠健）
50653	こだわり豚味付・惣菜（悠健）
50654	国産豚切り落し
50655	国産豚スライス
50656	国産豚ステーキ・カツ
50657	国産豚焼肉
50658	国産豚しゃぶしゃぶ
50659	国産豚かたまり
50660	国産豚味付・惣菜
50661	国産豚その他
50662	輸入豚 豚切り落し
50663	輸入豚スライス
50664	輸入豚ステーキ・カツ
50665	輸入豚焼肉
50666	輸入豚しゃぶしゃぶ
50667	輸入豚かたまり
50668	輸入豚味付・惣菜
50669	豚挽肉
50670	豚内臓
50671	銘柄鶏正肉
50672	銘柄鶏切身
50673	銘柄鶏骨もの
50674	銘柄鶏味付・惣菜
50675	こだわり鶏正肉（悠然）
50676	こだわり鶏切身（悠然）
50677	こだわり鶏骨もの（悠然）
50678	こだわり鶏味付・惣菜（悠然）
50679	国産鶏正肉
50680	国産鶏切身
50681	国産鶏骨もの
50682	国産鶏味付・惣菜
50683	輸入鶏正肉
50684	輸入鶏切身
50685	輸入鶏骨もの
50686	輸入鶏味付・惣菜
50687	鶏内臓
50688	鶏挽肉
50689	生食
50690	その他精肉
50691	その他味付
50692	その他
50698	フレッシュミートアウトパックその他
50701	トレー
50711	フィルム
50721	袋もの
50731	シール
50798	フレッシュ・ミート副資材その他
50801	国産牛（消化仕入）
50802	輸入牛（消化仕入）
50803	豚肉(消化仕入）
50804	鶏肉（消化仕入）
50805	その他精肉（消化仕入）
50806	挽肉（消化仕入）
50807	加工品（消化仕入）
50808	和牛（消化仕入）
50898	フレッシュ・ミート消化仕入その他
50901	銘柄牛その他不定貫OP
